country,site_area,sitename,locname,localt,locheight,recs,post_0,ante_0,fs_provenance,fs_destination,fs_amph,fs_ma,fs_col,fs_blck,fs_sarc
"Croatia,Adriatic,""Glavat Islet"",""Glavat Islet"",-40.0,35,1,-25,-1,,""Northern Italy"",1,,,,"
"Croatia,Adriatic,""Goica/Gojca Islet"",""Goica/Gojca Islet"",-40.0,15,1,1,100,,,401,,,,"
"Croatia,Adriatic,""Greben S. islet"",""Greben S. islet"",-32.0,2,1,-70,100,,,1,,,,"
Croatia,Adriatic,Grebeni,Grebeni,-16.0,,1,-150,400,,,,,,,
Croatia,Adriatic,Gusteranski,Gusteranski,-24.0,0,1,75,125,,,11,,,,
"Croatia,Adriatic,Host,""Host B"",-40.0,22,1,1,100,,,1,,,,"
"Croatia,Adriatic,Ilovik,Ilovik,-30.0,5,1,117,123,""Northern Italy"",,210,,,,"
Croatia,Adriatic,Istria,Istria,,,1,,,,,,,,,
"Croatia,Adriatic,""Jakljan Island"",""Jakljan Island"",,,1,-150,400,,""Northern Italy"",,1,,,1"
"Croatia,Adriatic,Jaz,""Jaz, islet"",-39.0,0,1,-50,-1,,,3,,,,"
"Croatia,Adriatic,Karantunic,""Karantunic 1"",-42.0,0,1,1,75,,,1,,,,"
"Croatia,Adriatic,Karantunic,""Karantunic 2"",,,1,-150,-1,,,,,,,"
"Croatia,Adriatic,Komiza,Komiza,-30.0,0,1,1,200,Egypt,""Northern Italy"",1,,,,"
Croatia,Adriatic,Kopa,Kopa,-36.0,25,1,-25,75,,,1,,,,
Croatia,Adriatic,Kopiste,Kopiste,-48.0,33,1,-25,75,,,21,,,,
"Croatia,Adriatic,""Koromasna  Cove"",""Koromasna  Cove"",-40.0,5,1,1,100,Aegean,""Northern Italy"",201,,,,"
Croatia,Adriatic,Krava,Krava,,,1,-400,-200,,,1,,,,
Croatia,Adriatic,Krbar,Krbar,-12.0,0,1,1,400,,,1,,,,
"Croatia,Adriatic,""Kvarner Gulf"",""Kvarner Gulf"",,,1,1,100,Cos,""Northern Italy"",1,,,,"
"Croatia,Adriatic,Lastovo,""Lastovo A (Mali Brod)"",,,1,400,500,,,,,,,"
"Croatia,Adriatic,Lastovo,""Lastovo B (Saplun)"",,,1,-175,-125,,,1,,,,"
"Croatia,Adriatic,Lastovo,""Lastovo C"",,,1,-100,-1,,,,,,,"
"Croatia,Adriatic,Lastovo,""Lastovo D"",,,1,-100,-1,,,,,,,"
"Croatia,Adriatic,Lastovo,""Lastovo E"",,,1,-300,-100,,,,,,,"
"Croatia,Adriatic,Lastovo,""Lastovo F"",,,1,-150,400,,,,,,,"
"Croatia,Adriatic,Lastovska,Lastovska,-11.0,6,1,-25,-1,,""Northern Italy"",1,,,,"
Croatia,Adriatic,Lirica,Lirica,-45.0,0,1,-25,75,,,0,,,,
"Croatia,Adriatic,Lokunji,Lokunji,-12.0,8,1,1,100,Cos,""Northern Italy"",1,,,,"
"Croatia,Adriatic,""Maharac Cape"",""Maharac Cape"",-20.0,17,1,1,100,Rhodes,""Northern Italy"",1,,,,"
"Croatia,Adriatic,""Mala Palagruza"",""Mala Palagruza"",-25.0,0,1,1,100,,,1,,,,"
"Croatia,Adriatic,""Mali Frasker"",""Mali Frasker"",-20.0,0,1,-25,75,,,1,,,,"
"Croatia,Adriatic,""Margarina Point"",""Margarina Point"",-42.0,36,1,1,250,Aegean?,""Northern Italy"",,1,,,"
Croatia,Adriatic,Martinska,Martinska,-7.0,0,1,100,300,,,1,,,,
"Croatia,Adriatic,Mlin,Mlin,-40.0,15,1,1,200,Aegean,""Northern Italy"",1,,,,"
Croatia,Adriatic,Mrcara,Mrcara,-10.0,5,1,1,200,,,1,,,,
Croatia,Adriatic,Nerezine,Nerezine,,,1,100,200,,,1,,,,
"Croatia,Adriatic,""Okuklje Cove"",""Okuklje Cove"",-33.0,29,1,1,100,,,1,,,,"
"Croatia,Adriatic,""Pakleni Cape"",""Pakleni Cape"",-19.0,0,1,1,100,,,1,,,,"
"Croatia,Adriatic,""Pakleni/ Izmeti?te"",""Pakleni/ Izmeti?te"",-36.0,24,1,100,150,Aegean,""Northern  Italy"",1,1,,,"
"Croatia,Adriatic,Palagruza,""Palagruza A"",,,1,-75,-25,,,,,,,"
"Croatia,Adriatic,Palagruza,""Palagruza B (Pupak Reef)"",-35.0,17,1,75,100,""Spain - central/southern Italy"",""Adriatic/ further east?"",19,,,,"
Croatia,Adriatic,Parzanj,Parzanj,-35.0,10,1,1,96,Spain,,1,,,,
"Croatia,Adriatic,Plavac,""Plavac A"",-30.0,7,1,-10,15,Aegean,""Northern Italy"",1,,,,"
"Croatia,Adriatic,Plavac,""Plavac B"",,,1,1,100,,,0,,,,"
Croatia,Adriatic,Plocice,Plocice,-15.0,3,1,-150,400,,,,,,,
"Croatia,Adriatic,Silba,""Silba A"",,,1,300,425,,,,,,,"
"Croatia,Adriatic,Silba,""Silba B/ Arat Cape"",-40.0,10,1,1,100,Rhodes,""Northern Italy"",1,,,,"
"Croatia,Adriatic,Silba,""Silba C"",,,1,-150,400,,,,,,,"
"Croatia,Adriatic,Silba,""Silba D"",,,1,1000,1500,,,,,,,"
"Croatia,Adriatic,""Skolj od Volam"",""Skolj od Volam"",-41.0,3,1,1,100,,,1,,,,"
"Croatia,Adriatic,Skoljic,Skoljic,,,1,50,150,""Northern Italy"",,104,,,,"
Croatia,Adriatic,Sobra,Sobra,-30.0,0,1,320,340,,,1004,,,,
"Croatia,Adriatic,""Stori Stoni"",""Stori Stoni (Stari Stani)"",-34.0,3,1,-125,-75,,,101,,,,"
Croatia,Adriatic,Supetar,Supetar,-30.0,0,1,-30,200,,,1,,,,
Croatia,Adriatic,Supetric,Supetric,,,1,-30,200,,,,,,,
"Croatia,Adriatic,""Sveti Andrija"",""Sveti Andrija (Svetac island)"",-42.0,0,1,1,100,,,1,,,,"
Croatia,Adriatic,Tijascica,Tijascica,-40.0,8,1,-60,-1,,,1,,,,
"Croatia,Adriatic,Tramerka,Tramerka,-20.0,5,1,1,100,Rhodes,""northern Italy"",1,,,,"
"Croatia,Adriatic,""Vele Orjule"",""Vele Orjule/Lussino"",-50.0,10,1,-110,170,Greece,""Northern Italy"",,,,,"
"Croatia,Adriatic,""Veli Porat"",""Veli Porat"",0.0,0,1,-200,-50,,,1,,,,"
"Croatia,Adriatic,""Veliki Skolj"",""Veliki Skolj"",-31.0,1,1,1,200,Aegean,""Northern Italy"",,1,,,"
Croatia,Adriatic,Verudica,Verudica,-35.0,21,1,1,100,,,1,,,,
"Croatia,Adriatic,Viganj,""Viganj (Sv. Ivan promontory)"",-30.0,2,1,100,200,Aegean,""Northern Italy"",,,,,"
"Croatia,Adriatic,Vis,""Vis A"",,,1,-125,-75,,,,,,,"
"Croatia,Adriatic,Vis,""Vis B"",,,1,-150,-25,,,,,,,"
"Croatia,Adriatic,Vis,""Vis C"",,,1,-175,-125,,,,,,,"
"Croatia,Adriatic,Vis,""Vis D"",,,1,-300,-100,,,,,,,"
"Croatia,Adriatic,Vis,""Vis E"",,,1,400,600,,,,,,,"
"Croatia,Adriatic,Vis,""Vis F"",,,1,-150,400,,,,,,,"
"Croatia,Adriatic,Vis,""Vis G"",,,1,-150,400,,,,,,,"
Croatia,Adriatic,Vratnicka,Vratnicka,-25.0,19,1,1,100,,,101,,,,
"Croatia,Adriatic,?avlena,?avlena,,,1,-150,400,,""Northern Italy"",,1,1,,"
"Cyprus,""East Mediterranean"",""Avidmou Bay"",""Avidmou Bay"",-4.0,1,1,450,500,""Southern Levant or Cyprus"",""Southern Levant or Cyprus"",33,,,,"
"Cyprus,""East Mediterranean"",""Ayios Georghios"",""Ayios Georghios"",-3.0,0,1,-300,-200,,,1,,,,"
"Cyprus,""East Mediterranean"",""Cape Andreas"",""Cape Andreas A"",,,1,400,650,,,,,,,"
"Cyprus,""East Mediterranean"",""Cape Andreas"",""Cape Andreas B"",,,1,600,700,,,,,,,"
"Cyprus,""East Mediterranean"",""Cape Andreas"",""Cape Andreas C"",,,1,450,650,,,1,,,,"
"Cyprus,""East Mediterranean"",""Cape Andreas"",""Cape Andreas D"",,,1,-600,-400,,,,,,,"
"Cyprus,""East Mediterranean"",""Cape Andreas"",""Cape Andreas E"",,,1,450,650,,,1,,,,"
"Cyprus,""East Mediterranean"",""Cape Andreas"",""Cape Andreas F"",,,1,-150,400,Corinth?,Cyprus/Levant,,,,,"
"Cyprus,""East Mediterranean"",""Cape Kiti"",""Cape Kiti A"",,,1,600,700,,,,,,,"
"Cyprus,""East Mediterranean"",""Cape Kiti"",""Cape Kiti B"",,,1,-10,40,Adriatic,Cyprus/Levant?,1,,,,"
"Cyprus,""East Mediterranean"",""Cape Zevgari"",""Cape Zevgari"",-7.0,2,1,500,700,,,151,,,,"
"Cyprus,""East Mediterranean"",Cyprus,Cyprus,,,1,-125,-100,Rhodes,""Cyprus/ Levant"",1,,,,"
"Cyprus,""East Mediterranean"",""Fondana Amorosa"",""Fondana Amorosa"",,,1,-150,400,,,1,,,,"
"Cyprus,""East Mediterranean"",Koppo,Koppo,-3.0,1,1,-100,-1,Rhodes,,1,,,,"
"Cyprus,""East Mediterranean"",Kyrenia,Kyrenia,,,1,-310,-300,""Aegean and lastly Cyprus."",Aegean?,1,,,,"
"Cyprus,""East Mediterranean"",Mazotos,Mazotos,-45.0,0,1,-350,-350,Chios,,1001,,,,"
"Cyprus,""East Mediterranean"",Protaras,Protaras,-9.0,4,1,100,120,Cyprus,Cyprus?,1,,,,"
"Cyprus,""East Mediterranean"",Xerolimini,Xerolimini,-4.0,1,1,-300,-100,,,1,,,,"
"Egypt,""East Mediterranean"",Alexandria,""Alexandria A"",,,1,-150,400,Adriatic,Alexandria,1,,,,"
"Egypt,""East Mediterranean"",Alexandria,""Alexandria B"",,,1,,,,,,,,,"
"Egypt,""East Mediterranean"",Qaitbay,""Qaitbay 1"",-10.0,0,1,-75,-25,""Italy via Crete and Rhodes"",Alexandria,520,,,,"
"Egypt,""East Mediterranean"",Qaitbay,""Qaitbay 2"",,,1,-200,-1,Rhodes,Alexandria,101,,,,"
"Egypt,""Red Sea"",Quseir,Quseir,-65.0,0,1,-100,100,Italy,India?,1,,,,"
"France,""Atlantic Ocean"",Caen,""Caen A"",,,1,138,170,,,,,,,"
"France,""Atlantic Ocean"",Caen,""Caen B"",,,1,-150,150,,,,,,,"
"France,""West Mediterranean Sea"",Agay,""Agay A (Camp Long)"",-50.0,10,1,925,975,,,1,,,,"
"France,""West Mediterranean Sea"",Agde,""Agde A"",-3.0,1,1,-200,-150,,,1,,,,"
"France,""West Mediterranean Sea"",Agde,""Agde B"",-8.0,2,1,-200,-100,,,4,,,,"
"France,""West Mediterranean Sea"",Agde,""Agde D"",-7.0,1,1,-100,-1,,,101,,,,"
"France,""West Mediterranean Sea"",Agde,""Agde E"",,,1,75,125,,,1,,,,"
"France,""West Mediterranean Sea"",Agde,""Agde F"",,,1,-500,-400,,,1,,,,"
"France,""West Mediterranean Sea"",Agde,""Agde G"",-7.0,0,1,-500,-100,,,,,,,"
"France,""West Mediterranean Sea"",Agde,""Agde H"",,,1,,,,,,,,,"
"France,""West Mediterranean Sea"",Agde,""Agde J"",,,1,-125,-75,,,,,,,"
"France,""West Mediterranean Sea"",Agde,""Agde K"",,,1,-300,-200,,,,,,,"
"France,""West Mediterranean Sea"",Ajaccio,Ajaccio,,,1,1400,1600,,,,,,,"
"France,""West Mediterranean Sea"",Algajola,Algajola,-27.0,15,1,-150,-100,,,,,,,"
"France,""West Mediterranean Sea"",""Anse Saint-Gervais"",""Anse Saint-Gervais"",0.0,0,1,260,400,,,,,,,"
"France,""West Mediterranean Sea"",""Anse de Montfort"",""Anse de Montfort"",,,1,-50,25,,,,,,,"
"France,""West Mediterranean Sea"",""Anse de Montfort"",""Anse de Montfort 1"",-2.0,1,1,-100,-1,,,1,,,,"
"France,""West Mediterranean Sea"",""Anse de Montfort"",""Anse de Montfort 2"",-2.0,1,1,-50,100,,,1,,,,"
"France,""West Mediterranean Sea"",Antheor,Antheor,,,1,1400,1600,,,,,,,"
"France,""West Mediterranean Sea"",Aragnon,Aragnon,,,1,1,50,,,1,,,,"
"France,""West Mediterranean Sea"",Bagaud,""Bagaud A"",-15.0,0,1,200,275,Aegean,France,1,,,,"
"France,""West Mediterranean Sea"",Bagaud,""Bagaud A (a)"",-15.0,0,1,75,200,,France,0,,,,"
"France,""West Mediterranean Sea"",Bagaud,""Bagaud B"",-18.0,0,1,-110,-100,,,,,,,"
"France,""West Mediterranean Sea"",Bagaud,""Bagaud C"",-20.0,3,1,50,200,,,1,,,,"
"France,""West Mediterranean Sea"",""Baie de Sanary"",""Baie de Sanary"",0.0,0,1,,,,,,,,,"
"France,""West Mediterranean Sea"",""Baie de l'Amitie"",""Baie de l'Amitie"",,,1,50,100,,,,,,,"
"France,""West Mediterranean Sea"",""Baie de l'Amitie"",""Baie de l'Amitie/Les Battuts 2"",-3.0,0,1,1,100,,,,,,,"
"France,""West Mediterranean Sea"",""Baie du Brusc"",""Baie du Brusc"",-11.0,0,1,,,,,,,,,"
"France,""West Mediterranean Sea"",""Balise de Rabiou"",""Balise de Rabiou"",-31.0,1,1,40,100,,,1,,,,"
"France,""West Mediterranean Sea"",""Banc du Benedetto"",""Banc du Benedetto"",-5.0,1,1,-400,-200,Elba,,1,,,,"
"France,""West Mediterranean Sea"",Barthelemy,""Barthelemy B"",-39.0,0,1,25,50,,,,,,,"
"France,""West Mediterranean Sea"",Beauséjour,Beauséjour,-5.0,2,1,50,100,Luna,""French coast, Pyrenées"",1,1,,1,"
"France,""West Mediterranean Sea"",""Bec Sormiou"",""Bec Sormiou"",-95.0,3,1,-100,-1,,,1,,,,"
"France,""West Mediterranean Sea"",Bonnieu,""Bonnieu 3"",0.0,0,1,-450,-425,Marseilles,,41,,,,"
"France,""West Mediterranean Sea"",Bonnieu,""Bonnieu 5"",-2.0,0,1,,,,,,1,,1,"
"France,""West Mediterranean Sea"",Brescou,Brescou,,,1,-150,400,,,,,,,"
"France,""West Mediterranean Sea"",Brescou,""Est Brescou"",-15.0,0,1,-150,-30,,,1,,,,"
"France,""West Mediterranean Sea"",Bugho,""Bugho I"",0.0,0,1,-100,-50,,,1,,,,"
"France,""West Mediterranean Sea"",""Cala Rossa"",""Cala Rossa"",-4.0,1,1,-250,-200,,,1,,,,"
"France,""West Mediterranean Sea"",""Calanque Devenson"",""Calanque Devenson 1"",-110.0,5,1,-100,-1,,,1,,,,"
"France,""West Mediterranean Sea"",""Calanque Devenson"",""Calanque Devenson 2"",-96.0,0,1,1,100,Baetica,,101,,,,"
"France,""West Mediterranean Sea"",""Calanque d'En Vau"",""Calanque d'En Vau 2"",-96.0,0,1,1,100,,,0,,,,"
"France,""West Mediterranean Sea"",""Calanque de Conca"",""Calanque de Conca"",-15.0,7,1,-50,100,,,1,,,,"
"France,""West Mediterranean Sea"",""Calanque de l'Ane"",""Calanque de l'Ane"",-18.0,0,1,75,100,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Bear"",""Cap Bear A"",,,1,-50,25,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Bear"",""Cap Bear B"",,,1,100,300,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Bear"",""Cap Bear C"",,,1,-50,-25,""Baetulo/Iluro, Spain"",,1,,,,"
"France,""West Mediterranean Sea"",""Cap Benat"",""Cap Benat A"",,,1,30,190,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Benat"",""Cap Benat B/ Cap Benat 2"",-47.0,0,1,-100,-75,,,4,,,,"
"France,""West Mediterranean Sea"",""Cap Benat"",""Cap Benat C"",,,1,1,50,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Benat"",""Cap Benat D"",,,1,-130,-110,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Camarat"",""Cap Camarat 2"",-41.0,0,1,-75,-25,""Aegean? Tripolitania? Italy"",France?,1,,,,"
"France,""West Mediterranean Sea"",""Cap Camarat"",""Cap Camarat A"",,,1,-100,-25,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Camarat"",""Cap Camarat B"",,,1,-75,-25,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Camarat"",Nord-Camarat,,,1,1,100,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Camarat"",Sud-Camarat,,,1,1,300,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Gros"",""Cap Gros (Collioure)"",,,1,-50,25,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Gros"",""Cap Gros A"",,,1,-100,-50,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Gros"",""Cap Gros B"",,,1,-200,-1,,,,,,,"
"France,""West Mediterranean Sea"",""Cap Gros"",""Cap Gros C"",,,1,-50,-1,,,12,,,,"
"France,""West Mediterranean Sea"",""Cap Gros"",""Cap Gros D"",,,1,-400,-300,,,,,,,"
"France,""West Mediterranean Sea"",""Cap d'Antibes"",""Cap d'Antibes"",,,1,-550,-530,,,,,,,"
"France,""West Mediterranean Sea"",Carry-le-Rouet,Carry-le-Rouet,-6.0,0,1,-125,-75,""South of France"",,,1,,1,"
"France,""West Mediterranean Sea"",Cassidaigne,Cassidaigne,-35.0,16,1,-100,-1,""Cos, Crete, Italy"",France,1,,,,"
"France,""West Mediterranean Sea"",Cassidaigne,""Nord-ouest Cassidaigne"",-90.0,0,1,1,100,,,1,,,,"
"France,""West Mediterranean Sea"",Cavalaire,""Cavalaire 1"",-12.0,0,1,1450,1500,,,,,,,"
"France,""West Mediterranean Sea"",Cavalière,""Cavaliere (medieval)"",,,1,1479,1500,,,,,,,"
"France,""West Mediterranean Sea"",Cavalière,Cavalière,-43.0,0,1,-110,-90,""General Mediterranean?"",France,1,,,,"
"France,""West Mediterranean Sea"",Cavallo,""Cavallo 4"",-12.0,0,1,1300,1500,,,,,,,"
"France,""West Mediterranean Sea"",Cavallo,""Cavallo A"",,,1,40,60,""Llobregat, Spain"",,1,,,,"
"France,""West Mediterranean Sea"",Cavallo,""Cavallo B"",,,1,275,400,,,,,,,"
"France,""West Mediterranean Sea"",Cavallo,""Cavallo C"",,,1,-200,-140,,,,,,,"
"France,""West Mediterranean Sea"",Caveaux,""Caveaux A"",,,1,-125,-75,,,,,,,"
"France,""West Mediterranean Sea"",Caveaux,""Caveaux B"",,,1,-125,-100,,,,,,,"
"France,""West Mediterranean Sea"",Caveaux,""Sud Caveaux 1"",-64.0,1,1,-50,-1,Baetica,,1,,,,"
"France,""West Mediterranean Sea"",Chretienne,""Chretienne A"",-21.0,0,1,-150,-100,,,,,,,"
"France,""West Mediterranean Sea"",Chretienne,""Chretienne B"",,,1,50,200,,,,,,,"
"France,""West Mediterranean Sea"",Chretienne,""Chretienne C"",-37.0,0,1,-175,-150,,,,,,,"
"France,""West Mediterranean Sea"",Chretienne,""Chretienne D"",-20.0,2,1,325,375,""Lusitania- Baetica"",,1,,,,"
"France,""West Mediterranean Sea"",Chretienne,""Chretienne E"",,,1,-300,-150,,,,,,,"
"France,""West Mediterranean Sea"",Chretienne,""Chretienne F"",,,1,15,20,,,,,,,"
"France,""West Mediterranean Sea"",Chretienne,""Chretienne H"",0.0,0,1,15,20,""Llobregat and Maresme, Spain"",,1,,,,"
"France,""West Mediterranean Sea"",Chretienne,""Chretienne I"",,,1,1,100,,,,,,,"
"France,""West Mediterranean Sea"",Chretienne,""Chretienne J"",,,1,-125,-75,,,,,,,"
"France,""West Mediterranean Sea"",Chretienne,""Chretienne M"",-20.0,5,1,,,,,,,,,"
"France,""West Mediterranean Sea"",""Conque des Salins"",""Conque des Salins"",-1.0,0,1,-210,-85,,,,,,,"
"France,""West Mediterranean Sea"",Coscia,Coscia,-2.0,0,1,-250,-50,,,1,,,,"
"France,""West Mediterranean Sea"",Dramont,""Dramont A"",-36.0,3,1,-75,-25,,,,1,,1,"
"France,""West Mediterranean Sea"",Dramont,""Dramont B"",,,1,1,10,""Lllobregat, Spain"",,1,,,,"
"France,""West Mediterranean Sea"",Dramont,""Dramont C"",-42.0,0,1,-125,-100,,,121,,,,"
"France,""West Mediterranean Sea"",Dramont,""Dramont D"",-55.0,0,1,40,50,""Aegean, Italy"",France,1,,,,"
"France,""West Mediterranean Sea"",Dramont,""Dramont E"",-42.0,0,1,425,455,""Neapolis (Nabeul) North Africa"",,469,,,,"
"France,""West Mediterranean Sea"",Dramont,""Dramont F"",,,1,390,410,,,120,,,,"
"France,""West Mediterranean Sea"",Dramont,""Dramont G"",,,1,60,70,,,,,,,"
"France,""West Mediterranean Sea"",Dramont,""Dramont I"",-32.0,1,1,50,60,""Teos, Naxos, Rome"",France?,1,1,,1,"
"France,""West Mediterranean Sea"",""Ecueil de Miet"",""Ecueil de Miet 3"",-21.0,3,1,-575,-550,,,101,,,,"
"France,""West Mediterranean Sea"",Embiez,""Ouest Embiez 1"",-56.0,0,1,175,225,""Palestine and elsewhere (?)"",France?,30,,,,"
"France,""West Mediterranean Sea"",Erbalunga,Erbalunga,0.0,0,1,300,400,,,,,,,"
"France,""West Mediterranean Sea"",""Esteu dou Mieu"",""Esteu dou Mieu 2"",,,1,69,96,,,,,,,"
"France,""West Mediterranean Sea"",""Esteu dou Mieu"",""Esteu dou Mieu A"",,,1,-575,-525,,,,,,,"
"France,""West Mediterranean Sea"",""Esteu dou Mieu"",""Esteu dou Mieu B"",,,1,-200,-180,,,,,,,"
"France,""West Mediterranean Sea"",Fouras,Nord-Fouras,0.0,0,1,900,1000,,,1,,,,"
"France,""West Mediterranean Sea"",Giens,""Giens A/Redonne B1"",-5.0,0,1,-200,-175,,,1,,,,"
"France,""West Mediterranean Sea"",Giens,""Giens B"",,,1,1,100,,,,,,,"
"France,""West Mediterranean Sea"",Gracieuse,""Sud Gracieuse"",-150.0,0,1,-200,-175,,,5,,,,"
"France,""West Mediterranean Sea"",""Grand Rouveau"",""Grand Rouveau 2"",-7.0,5,1,-140,400,,,1,,,,"
"France,""West Mediterranean Sea"",Heliopolis,""Heliopolis A"",-38.0,3,1,300,325,""North Africa"",,72,,,,"
"France,""West Mediterranean Sea"",Heliopolis,""Heliopolis B"",-98.0,0,1,-200,-125,,,,,,,"
"France,""West Mediterranean Sea"",""Ile Rousse"",""Ile Rousse"",,,1,50,50,""Maresme, Spain"",,1,,,,"
"France,""West Mediterranean Sea"",Jarre,Jarre,,,1,10,50,,,,,,,"
